"","Country","GDP_2019","GDP_2020","pop_2019","pop_2020","unemployment_2019","unemployment_2020"
"1543","Chile",NA,"201,428.90",19.107,"19.458",7.223,"10.77"
"1587","China",NA,"102,562.84",NA,"1,412.12",3.62,"4.24"
"1631","Colombia",NA,"997,742.00",49.396,"50.372",10.892,"16.667"
"1675","Comoros",522.045,"524.947",0.874,"0.897",NA,""
"1719","Democratic Republic of the Congo",NA,"90,181.05",87.911,"90.794",NA,""
"1763","Republic of Congo",NA,"6,036.20",4.568,"4.682",NA,""
"1807","Costa Rica",NA,"36,495.25",5.075,"5.128",12.417,"19.98"
"1851","Côte d'Ivoire",NA,"36,252.00",26.275,"26.958",NA,""
"1895","Croatia",54.785,"50.451",4.065,"4.048",7.758,"9"
"1939","Cyprus",23.176,"21.895",0.876,"0.888",7.075,"7.575"
"1983","Czech Republic",NA,"5,709.13",10.65,"10.694",2.001,"2.541"
"2027","Denmark",NA,"2,323.92",5.806,"5.823",5,"5.633"
"2071","Djibouti",548.954,"565.343",0.974,"0.988",NA,""
"2115","Dominica",1.651,"1.361",0.072,"0.073",NA,""
"2159","Dominican Republic",NA,"4,456.66",10.358,"10.448",6.167,"5.829"
"2203","Ecuador",108.108,"99.291",17.268,"17.511",3.84,"5.346"
"2247","Egypt",NA,"6,152.60",98.9,"100.6",8.612,"8.296"
"2291","El Salvador",26.881,"24.563",6.28,"6.293",6.34,"6.9"
"2335","Equatorial Guinea",NA,"5,812.93",1.36,"1.406",NA,""
"2379","Eritrea",29.876,"31.841",3.497,"3.546",NA,""
"2423","Estonia",27.765,"27.465",1.327,"1.33",4.448,"6.806"
"2467","Eswatini",64.965,"65.588",1.115,"1.127",NA,""
"2511","Ethiopia",NA,"3,374.35",97.6,"99.7",NA,""
"2555","Fiji",11.843,"9.71",0.895,"0.9",4.5,"13.351"
"2599","Finland",239.858,"238.038",5.518,"5.525",6.733,"7.767"
"2643","France",NA,"2,309.61",65.097,"65.269",8.417,"8.033"
"2687","Gabon",NA,"8,816.14",2.08,"2.108",NA,""
"2731","The Gambia",90.794,"93.33",2.349,"2.419",NA,""
"2775","Georgia",49.253,"49.267",3.724,"3.717",17.6,"18.5"
"2819","Germany",NA,"3,405.43",83.093,"83.161",2.975,"3.625"
"2863","Ghana",356.544,"391.941",30.168,"30.779",NA,""
"2907","Greece",183.351,"165.405",10.725,"10.719",17.325,"16.325"
